versao,dia,mercado,janela,barra,r_exf,r_net,r_bruto,risco_pct,atr_pct,saida
mean_reversion v1,2026-06-18,PROMUSDT,J1,2026-06-18T05:30:00Z,1.102497,,1.261440,0.012676,0.01124303,target
mean_reversion v1,2026-06-18,NEARUSDT,J1,2026-06-18T17:45:00Z,0.277082,,0.417244,0.014303,0.01597188,expired
mean_reversion v1,2026-06-19,UNIUSDT,J1,2026-06-19T03:30:00Z,-1.145198,,-0.937371,0.009574,0.01059054,stop
mean_reversion v1,2026-06-19,ARBUSDT,J1,2026-06-19T04:00:00Z,-1.259335,,-0.888476,0.005377,0.00736436,stop
mean_reversion v1,2026-06-19,ZECUSDT,J1,2026-06-19T19:45:00Z,0.787816,,0.954911,0.012031,0.00919408,target
mean_reversion v1,2026-06-20,NEARUSDT,J1,2026-06-20T07:30:00Z,-1.191391,,-0.917582,0.007276,0.00621817,stop
mean_reversion v1,2026-06-20,TAOUSDT,J1,2026-06-20T11:30:00Z,-1.200789,,-0.913556,0.006937,0.00655702,stop
mean_reversion v1,2026-06-20,DASHUSDT,J1,2026-06-20T13:45:00Z,0.776082,,0.983997,0.009659,0.00744233,target
mean_reversion v1,2026-06-20,UNIUSDT,J1,2026-06-20T13:45:00Z,-1.195159,,-0.915968,0.007136,0.00654012,stop
mean_reversion v1,2026-06-20,ZECUSDT,J1,2026-06-20T13:45:00Z,-1.149286,,-0.935619,0.009314,0.00752970,stop
mean_reversion v1,2026-06-20,TAOUSDT,J1,2026-06-20T14:30:00Z,1.212511,,1.481898,0.007461,0.00716907,target
mean_reversion v1,2026-06-20,PROMUSDT,J1,2026-06-20T18:15:00Z,0.589506,,0.693536,0.019343,0.01710501,expired
mean_reversion v1,2026-06-21,PROMUSDT,J1,2026-06-21T01:00:00Z,1.406583,,1.642065,0.008548,0.00879142,target
mean_reversion v1,2026-06-21,NEARUSDT,J1,2026-06-21T03:00:00Z,1.798053,,2.152548,0.005673,0.00690520,target
mean_reversion v1,2026-06-21,TAOUSDT,J1,2026-06-21T08:45:00Z,1.300734,,1.563522,0.007652,0.00760654,target
mean_reversion v1,2026-06-21,TAOUSDT,J1,2026-06-21T11:30:00Z,-1.225886,,-0.902805,0.006169,0.00718369,stop
mean_reversion v1,2026-06-21,SAHARAUSDT,J1,2026-06-21T11:45:00Z,-1.174307,,-0.924901,0.007985,0.00663401,stop
mean_reversion v1,2026-06-21,SAHARAUSDT,J1,2026-06-21T12:30:00Z,1.090317,,1.373284,0.007098,0.00650244,target
mean_reversion v1,2026-06-21,TAOUSDT,J1,2026-06-21T21:30:00Z,-1.157892,,-0.931933,0.008810,0.00817208,stop
mean_reversion v1,2026-06-22,ARBUSDT,J1,2026-06-22T16:15:00Z,-1.226151,,-0.902691,0.006162,0.00674265,stop
mean_reversion v1,2026-06-22,ZECUSDT,J1,2026-06-22T16:15:00Z,-1.184158,,-0.920681,0.007560,0.00773559,stop
mean_reversion v1,2026-06-22,SUIUSDT,J1,2026-06-22T16:30:00Z,-1.173634,,-0.925189,0.008015,0.00742021,stop
mean_reversion v1,2026-06-22,UNIUSDT,J1,2026-06-22T17:00:00Z,-1.147833,,-0.936242,0.009405,0.00815807,stop
mean_reversion v1,2026-06-22,SUIUSDT,J1,2026-06-22T19:15:00Z,1.263968,,1.578186,0.006393,0.00635363,target
mean_reversion v1,2026-06-22,ZECUSDT,J1,2026-06-22T19:45:00Z,1.699117,,2.011704,0.006436,0.00750513,target
mean_reversion v1,2026-06-23,DASHUSDT,J1,2026-06-23T06:45:00Z,-1.119976,,-0.948175,0.011571,0.00954374,stop
mean_reversion v1,2026-06-24,DASHUSDT,J1,2026-06-24T05:15:00Z,-1.168311,,-0.927469,0.008267,0.00711613,stop
mean_reversion v1,2026-06-24,SAHARAUSDT,J1,2026-06-24T06:45:00Z,1.444632,,1.574182,0.015619,0.01583863,target
mean_reversion v1,2026-06-24,SAHARAUSDT,J1,2026-06-24T13:00:00Z,-1.067551,,-0.970634,0.020419,0.02574508,stop
mean_reversion v1,2026-06-24,ZECUSDT,J1,2026-06-24T13:30:00Z,2.682754,,3.037607,0.005681,0.00890682,target
mean_reversion v1,2026-06-24,TAOUSDT,J1,2026-06-24T13:30:00Z,-1.681259,,-0.707729,0.002052,0.00674302,stop
mean_reversion v1,2026-06-24,PROMUSDT,J1,2026-06-24T14:00:00Z,1.223955,,1.414770,0.010553,0.00995963,target
mean_reversion v1,2026-06-24,SAHARAUSDT,J1,2026-06-24T16:00:00Z,-1.049719,,-0.978273,0.027598,0.02626818,stop
mean_reversion v1,2026-06-24,PROMUSDT,J1,2026-06-24T17:00:00Z,-1.110300,,-0.952321,0.012576,0.01106409,stop
mean_reversion v1,2026-06-24,PROMUSDT,J1,2026-06-24T17:45:00Z,1.662732,,1.845289,0.011061,0.01233265,target
mean_reversion v1,2026-06-25,PROMUSDT,J1,2026-06-25T01:00:00Z,-1.165495,,-0.928676,0.008407,0.00781226,stop
