A1,2026-08-20,-0.3209659239,1.6753530335,1.3543871096
A1,2026-08-21,-0.8340212743,1.6053631043,0.7713418300
A1,2026-08-21,1.5986712277,-1.0978207788,0.5008504489
A1,2026-08-22,-0.4202323268,0.9224815885,0.5022492617
A1,2026-08-22,-0.2962846949,0.8457086750,0.5494239801
A1,2026-08-22,-0.2923988520,0.8968620474,0.6044631954
A1,2026-08-22,0.0184458852,-1.0498866359,-1.0314407507
A1,2026-08-22,0.8830061903,-1.1880147026,-0.3050085123
A1,2026-08-23,0.0882785198,1.2223857659,1.3106642857
A2,2026-08-20,-0.6766582931,1.6753530335,0.9986947404
A2,2026-08-21,-1.0361825905,1.6053631043,0.5691805138
A2,2026-08-21,1.4781923909,-1.0978207788,0.3803716121
A2,2026-08-22,-0.5774224576,0.9224815885,0.3450591309
A2,2026-08-22,-0.4410158161,0.8968620474,0.4558462313
A2,2026-08-22,-0.4388300964,0.8457086750,0.4068785786
A2,2026-08-22,0.9725844358,-1.1880147026,-0.2154302668
A2,2026-08-22,1.1003501198,-1.0498866359,0.0504634839
A2,2026-08-23,0.1337840167,1.2223857659,1.3561697826
B1,2026-08-20,-0.3209659239,1.6753530335,1.3543871096
B1,2026-08-21,-0.8340212743,1.6053631043,0.7713418300
B1,2026-08-21,-0.4339011500,1.0052476043,0.5713464543
B1,2026-08-21,-0.4020469544,1.0649814889,0.6629345345
B1,2026-08-21,1.5986712277,-1.0978207788,0.5008504489
B1,2026-08-22,-0.4202323268,0.9224815885,0.5022492617
B1,2026-08-22,-0.2962846949,0.8457086750,0.5494239801
B1,2026-08-22,-0.2923988520,0.8968620474,0.6044631954
B1,2026-08-22,0.0184458852,-1.0498866359,-1.0314407507
B1,2026-08-22,0.8830061903,-1.1880147026,-0.3050085123
B1,2026-08-23,0.0882785198,1.2223857659,1.3106642857
B1,2026-08-25,0.0401663198,-1.1306587220,-1.0904924022
B1,2026-08-27,-0.7167215870,0.8578866391,0.1411650521
B1,2026-09-05,1.8538130300,-1.1846160415,0.6691969885
B2,2026-08-20,-0.6766582931,1.6753530335,0.9986947404
B2,2026-08-21,-1.0361825905,1.6053631043,0.5691805138
B2,2026-08-21,-0.5658146715,1.0052476043,0.4394329328
B2,2026-08-21,-0.5571831142,1.0649814889,0.5077983747
B2,2026-08-21,1.4781923909,-1.0978207788,0.3803716121
B2,2026-08-22,-0.5774224576,0.9224815885,0.3450591309
B2,2026-08-22,-0.4410158161,0.8968620474,0.4558462313
B2,2026-08-22,-0.4388300964,0.8457086750,0.4068785786
B2,2026-08-22,0.9725844358,-1.1880147026,-0.2154302668
B2,2026-08-22,1.1003501198,-1.0498866359,0.0504634839
B2,2026-08-23,0.1337840167,1.2223857659,1.3561697826
B2,2026-08-25,0.0615538227,-1.1306587220,-1.0691048993
B2,2026-08-27,-0.7480587104,0.8578866391,0.1098279287
B2,2026-09-05,1.6798849560,-1.1846160415,0.4952689145
C1,2026-08-11,-0.3604076509,0.8089121562,0.4485045053
C1,2026-08-11,-0.1670071111,0.5721776810,0.4051705699
C1,2026-08-11,0.1169361545,-0.4313814607,-0.3144453062
C1,2026-08-11,0.1398725112,-0.4826316566,-0.3427591454
C1,2026-08-11,0.2610023642,-1.1300435992,-0.8690412350
C1,2026-08-11,0.2659857048,0.9915022345,1.2574879393
C1,2026-08-13,-0.1372673223,0.4795743282,0.3423070059
C1,2026-08-17,-0.2094234957,0.6346447301,0.4252212344
C1,2026-08-17,0.2888276776,-0.8417604843,-0.5529328067
C1,2026-08-18,0.2151962305,-0.7582936919,-0.5430974614
C1,2026-08-19,-0.0404230629,2.1100999212,2.0696768583
C1,2026-08-19,0.0600037017,1.8171559116,1.8771596133
C1,2026-08-19,0.1386727197,1.5486049932,1.6872777129
C1,2026-08-19,0.1537258814,1.4931792503,1.6469051317
C1,2026-08-19,0.1594833171,-0.5616709618,-0.4021876447
C1,2026-08-19,0.1868568168,-0.7049307417,-0.5180739249
C1,2026-08-19,0.1999738733,1.3060457440,1.5060196173
C1,2026-08-19,0.2114254887,1.2777644219,1.4891899106
C1,2026-08-19,0.2494828335,1.0947843281,1.3442671616
C1,2026-08-19,0.2515789663,1.0763051698,1.3278841361
