BEGIN
SET
Output format is unaligned.
Field separator is ",".
decisao,mercado,direcao,dia,entrada_utc,saida_utc,motivo,m_saida,entry_open,atr,atr_pct,preco_80,preco_240,ret80_atr,ret240_atr,ret80_pct,ret240_pct,n_minutos,max_close_80,min_close_80,max_close_240,min_close_240,n_antes,max_close_antes,min_close_antes,n_depois,max_close_depois,min_close_depois
6f7e8272-0324-5218-8247-95cdf3000a4d,ARBUSDT,long,2026-06-12,2026-06-12 21:01:00,2026-06-13 01:01:00,time-stop,240,0.0836700000,0.0005542751088207274077028592191,0.662454,0.0837500000,0.0840900000,0.14433266,0.75774646,0.09561372,0.50197203,240,0.0843300000,0.0834900000,0.0844300000,0.0832100000,240,0.0844300000,0.0832100000,0,,
a3185f8b-5cad-5793-b592-68c88b2bac87,PROMUSDT,long,2026-06-13,2026-06-13 13:46:00,2026-06-13 14:26:00,stop,40,1.0760000000,0.006813282561355491737699156586,0.633205,1.0670000000,1.0710000000,-1.32094918,-0.73386065,-0.83643123,-0.46468401,240,1.0760000000,1.0650000000,1.0760000000,1.0640000000,40,1.0760000000,1.0700000000,200,1.0740000000,1.0640000000
24e769d3-5e5b-50ea-af0d-7faa489fc23a,ZECUSDT,long,2026-06-13,2026-06-13 16:46:00,2026-06-13 16:50:00,stop,4,408.8900000000,3.202726849164839501130899891,0.783273,411.0100000000,409.5000000000,0.66193594,0.19046270,0.51847685,0.14918438,240,416.3600000000,405.1900000000,416.3600000000,405.1900000000,4,409.9500000000,405.1900000000,236,416.3600000000,405.7400000000
820425a3-6598-599f-a416-6a81ef8d1f47,TAOUSDT,long,2026-06-13,2026-06-13 19:01:00,2026-06-13 19:30:00,stop,29,255.9200000000,5.411977973580194653085965481,2.114715,252.5200000000,263.2700000000,-0.62823611,1.35809865,-1.32854017,2.87199125,240,256.4200000000,250.8200000000,263.5900000000,250.8200000000,29,256.4200000000,251.0800000000,211,263.5900000000,250.8200000000
4467d67d-2600-57ae-80a6-4cec9de62949,NEARUSDT,long,2026-06-13,2026-06-13 20:16:00,2026-06-13 21:43:00,target,87,2.1000000000,0.02522885579947234307229222529,1.201374,2.1180000000,2.1200000000,0.71346874,0.79274305,0.85714286,0.95238095,240,2.1180000000,2.0870000000,2.1400000000,2.0870000000,87,2.1320000000,2.0870000000,153,2.1400000000,2.1130000000
c6a9d90c-4430-5090-b8de-da4d82af0a0b,TAOUSDT,long,2026-06-13,2026-06-13 20:16:00,2026-06-13 21:36:00,target,80,251.8100000000,4.55868135665250734714042322,1.810365,258.7200000000,265.9900000000,1.51578921,3.11054862,2.74413248,5.63122990,240,258.7200000000,252.3200000000,266.8300000000,252.3200000000,80,258.7200000000,252.3200000000,160,266.8300000000,259.5800000000
0f0c12ea-210b-53f4-acf5-3aa777b9d442,NEARUSDT,long,2026-06-14,2026-06-14 05:01:00,2026-06-14 05:32:00,stop,31,2.1190000000,0.01829143229212138680442330118,0.863211,2.1330000000,2.1110000000,0.76538566,-0.43736323,0.66068900,-0.37753657,240,2.1400000000,2.1000000000,2.1400000000,2.0900000000,31,2.1190000000,2.1000000000,209,2.1400000000,2.0900000000
2a6f6171-3b54-5878-b106-9219f3fcc33e,SAHARAUSDT,long,2026-06-14,2026-06-14 06:46:00,2026-06-14 08:53:00,stop,127,0.0152300000,0.0001514398250990033756278805864,0.994352,0.0151800000,0.0152900000,-0.33016414,0.39619697,-0.32829941,0.39395929,240,0.0153700000,0.0151600000,0.0153700000,0.0149500000,127,0.0153700000,0.0151100000,113,0.0152900000,0.0149500000
e1284b26-f6ca-5816-b982-dcc40e7410b7,DASHUSDT,long,2026-06-14,2026-06-14 07:01:00,2026-06-14 08:47:00,target,106,35.5500000000,0.2566901472094866206268194449,0.722054,35.8300000000,35.6400000000,1.09080930,0.35061728,0.78762307,0.25316456,240,35.8600000000,35.5000000000,35.9900000000,35.3700000000,106,35.9500000000,35.5000000000,134,35.9900000000,35.3700000000
4e81e502-6400-5d84-89f7-6d1c8931a811,TAOUSDT,long,2026-06-14,2026-06-14 08:01:00,2026-06-14 09:10:00,stop,69,268.7100000000,3.8956382264693487444152312,1.449756,265.6700000000,269.1000000000,-0.78035994,0.10011197,-1.13133117,0.14513788,240,274.6000000000,265.0100000000,275.9400000000,265.0100000000,69,274.6000000000,265.6500000000,171,275.9400000000,265.0100000000
