symbol,dia,atr_pct,r_net,r_exf,motivo
DOGEUSDT,2026-08-20,0.006332945768169818798413613202,0.1093816837,0.1093816837159315366346186506,expired
ETHUSDT,2026-08-20,0.007233907322433574602936196663,1.3228758699,1.322875869899355127589216395,target
ETHUSDT,2026-08-20,0.006032412939617125843666402209,1.2616527722,1.261652772179532848970168251,target
XRPUSDT,2026-08-20,0.00643980810695267685315975585,0.6062038960,0.6062038959996531618738710030,target
XRPUSDT,2026-08-20,0.01741948080326172194446009916,1.6753530335,1.675353033488987993199075635,target
DOGEUSDT,2026-08-21,0.01048124580649304986903512841,1.6053631043,1.605363104278594366353404927,target
ETHUSDT,2026-08-21,0.008688890374173693118066790199,1.0052476043,1.005247604335695667109961552,target
SOLUSDT,2026-08-21,0.009248913444825570987291047095,1.0649814889,1.064981488868190022030950088,target
SOLUSDT,2026-08-21,0.006235895485909628526412857445,2.1334352649,2.133435264892731452188639005,target
XRPUSDT,2026-08-21,0.01314623338183249375520913074,-1.0978207788,-1.097820778795743651244963610,stop
XRPUSDT,2026-08-21,0.0120106895109463363957524398,1.6883550861,1.688355086130402423462697541,target
DOGEUSDT,2026-08-22,0.03564523392344247034340537683,0.9224815885,0.9272792994702720816631652210,expired
DOGEUSDT,2026-08-22,0.02097915752194151305783014686,0.8457086750,0.8457086749823596198249970731,expired
ETHUSDT,2026-08-22,0.01050922790584598549891946864,-1.1880147026,-1.188014702591888900757972365,stop
SOLUSDT,2026-08-22,0.01462454127873617267709090868,0.8968620474,0.8968620473654805525086485954,expired
XRPUSDT,2026-08-22,0.03116431526144051280803910722,-1.0498866359,-1.049886635866548544438172006,stop
XRPUSDT,2026-08-22,0.02828768492902214481403556656,0.1229391942,0.1229391941793437347446790661,expired
XRPUSDT,2026-08-23,0.01043695324556198615841905855,1.2223857659,1.222385765921049224632115937,target
ETHUSDT,2026-08-24,0.007566785122799852416044565884,-1.2876465005,-1.287646500510717976128604749,stop
ETHUSDT,2026-08-24,0.00745962912195987275083889763,0.1650380896,0.1650380895976221680799705212,expired
SOLUSDT,2026-08-24,0.006853601985165101186687331188,1.3800136500,1.380013650006744861850063084,target
DOGEUSDT,2026-08-25,0.006723847989727857262978683214,-1.1820574850,-1.182057485047227710292301583,stop
SOLUSDT,2026-08-25,0.009347090149869657204387424262,-1.1306587220,-1.130658721954305908885468070,stop
SOLUSDT,2026-08-25,0.008296068218585138240979438934,-1.1600488767,-1.160048876662706896382329365,stop
XRPUSDT,2026-08-25,0.007599901781820415170464533985,-1.1482030780,-1.148203077999470993294631839,stop
DOGEUSDT,2026-08-27,0.0071272442197797874958606448,1.3282381173,1.328238117267281514825400866,target
DOGEUSDT,2026-08-27,0.006592317435981711590948829282,-1.1695986875,-1.169598687476715377575975945,stop
XRPUSDT,2026-08-27,0.008154545188080097008617452765,0.8578866391,0.8578866391207068108250007847,target
SOLUSDT,2026-08-28,0.007191159694852003514589674077,-1.2148102003,-1.214810200282791565750297154,stop
XRPUSDT,2026-08-28,0.006737792565519977970417638871,-1.2189853486,-1.218985348584560438003301994,stop
DOGEUSDT,2026-09-03,0.006948836066349886534295787553,-1.1717354185,-1.171735418505156723851180267,stop
DOGEUSDT,2026-09-03,0.006737039519408784837634698336,-1.1738163876,-1.162126281422116351270551273,stop
XRPUSDT,2026-09-03,0.007753423139985408109113110747,-1.1471385881,-1.137282143730881226682497603,stop
DOGEUSDT,2026-09-05,0.008158348093982564598078297069,-1.1846160415,-1.184616041540052379928294294,stop
DOGEUSDT,2026-09-06,0.007083860597016040620826960228,-1.1668062716,-1.166806271625606047279017637,stop
DOGEUSDT,2026-09-06,0.007152206150060171754921333083,1.1245293034,1.124529303388940053673509544,target
SOLUSDT,2026-09-06,0.00610916784407228883809074106,0.8220572139,0.8327820279182125953334575434,target
