rotulos medidos: 84 (14 x 2 tf x 3 horizontes) | raros (n < 30 ou dias < 10): 12 | familia de Holm: 72
padrao             tf   h      n  dias     bruto     delta  IC95 baixo  IC95 alto        p     Holm   Holm/h
marubozu_alta      1h   1    101    31    0.1614    0.1600     -0.0819     0.4434   0.2650    1.000    1.000
marubozu_alta      1h   4    101    31    0.2602    0.2579     -0.1859     0.7255   0.2862    1.000    1.000
marubozu_alta      1h  16    101    31    0.3446    0.3416     -0.4544     1.0872   0.4210    1.000    1.000
marubozu_baixa     1h   1     87    31   -0.1574   -0.1562     -0.2844    -0.0309   0.0142    1.000    0.341
marubozu_baixa     1h   4     87    31    0.1677    0.1664     -0.1736     0.4877   0.3712    1.000    1.000
marubozu_baixa     1h  16     87    31   -0.1367   -0.1356     -1.2616     0.8004   0.7746    1.000    1.000
harami_alta        1h   1     49    31    0.0550    0.0547     -0.2018     0.2474   0.6136    1.000    1.000
harami_alta        1h   4     49    31    0.2034    0.2025     -0.1421     0.5300   0.2298    1.000    1.000
harami_alta        1h  16     49    31    0.0593    0.0591     -0.9815     1.0056   0.8508    1.000    1.000
harami_baixa       1h   1     84    31    0.0680    0.0675     -0.2701     0.4662   0.6460    1.000    1.000
harami_baixa       1h   4     84    31   -0.4551   -0.4517     -1.4436     0.4046   0.3772    1.000    1.000
harami_baixa       1h  16     84    31   -0.6622   -0.6573     -2.3772     0.9192   0.4800    1.000    1.000
estrela_manha      1h   1      9    31   -0.3330   -0.3327     -0.8182    -0.0100   0.0443     raro     raro
estrela_manha      1h   4      9    31   -0.0642   -0.0642     -0.9708     0.4619   0.9361     raro     raro
estrela_manha      1h  16      9    31   -0.7006   -0.7001     -1.7060     0.1246   0.1007     raro     raro
estrela_noite      1h   1     22    31   -0.2190   -0.2186     -0.6026     0.0727   0.1568     raro     raro
estrela_noite      1h   4     22    31    0.1728    0.1725     -0.4467     0.8516   0.6468     raro     raro
estrela_noite      1h  16     22    31    0.1993    0.1989     -1.3562     1.8171   0.7650     raro     raro
tres_soldados      1h   1     11    31   -0.6685   -0.6679     -1.3232    -0.1360   0.0124     raro     raro
tres_soldados      1h   4     11    31   -0.1237   -0.1236     -1.5144     0.9035   0.8671     raro     raro
tres_soldados      1h  16     11    31   -0.9017   -0.9008     -2.6317     0.7665   0.3046     raro     raro
tres_corvos        1h   1      0     0       nan       nan         nan        nan   1.0000     raro     raro
tres_corvos        1h   4      0     0       nan       nan         nan        nan   1.0000     raro     raro
tres_corvos        1h  16      0     0       nan       nan         nan        nan   1.0000     raro     raro
sobrevivem a Holm(m=72) com alfa 0,05: nenhum
sobrevivem a Holm por horizonte: nenhum
