symbol,tf,ts,n_linhas,dist_sup,dist_res
BNBUSDT,15m,2026-08-10T01:00:00+00:00,1,5.281030,
BNBUSDT,15m,2026-08-10T01:15:00+00:00,1,4.939936,
BNBUSDT,15m,2026-08-10T01:30:00+00:00,1,5.842012,
BNBUSDT,15m,2026-08-10T01:45:00+00:00,1,5.229662,
BNBUSDT,15m,2026-08-10T02:00:00+00:00,1,5.925750,
BNBUSDT,15m,2026-08-10T02:15:00+00:00,1,6.466062,
BNBUSDT,15m,2026-08-10T02:30:00+00:00,1,6.757586,
BNBUSDT,15m,2026-08-10T02:45:00+00:00,1,6.306972,
BNBUSDT,15m,2026-08-10T03:00:00+00:00,1,7.696302,
BNBUSDT,15m,2026-08-10T03:15:00+00:00,1,7.291648,
BNBUSDT,15m,2026-08-10T03:30:00+00:00,1,7.299039,
BNBUSDT,15m,2026-08-10T03:45:00+00:00,1,7.299088,
BNBUSDT,15m,2026-08-10T04:00:00+00:00,2,0.804759,
BNBUSDT,15m,2026-08-10T04:15:00+00:00,2,0.987298,
BNBUSDT,15m,2026-08-10T04:30:00+00:00,2,0.149300,
BNBUSDT,15m,2026-08-10T04:45:00+00:00,2,0.105002,
BNBUSDT,15m,2026-08-10T05:00:00+00:00,2,0.240497,
BNBUSDT,15m,2026-08-10T05:15:00+00:00,2,0.744285,
BNBUSDT,15m,2026-08-10T05:30:00+00:00,1,1.116389,
BNBUSDT,15m,2026-08-10T05:45:00+00:00,1,1.515414,
BNBUSDT,15m,2026-08-10T06:00:00+00:00,1,1.618456,
BNBUSDT,15m,2026-08-10T06:15:00+00:00,1,1.711743,
BNBUSDT,15m,2026-08-10T06:30:00+00:00,1,1.861175,
BNBUSDT,15m,2026-08-10T06:45:00+00:00,1,2.240992,
BNBUSDT,15m,2026-08-10T07:00:00+00:00,1,2.156588,
BNBUSDT,15m,2026-08-10T07:15:00+00:00,1,2.061108,
BNBUSDT,15m,2026-08-10T07:30:00+00:00,1,3.092197,
BNBUSDT,15m,2026-08-10T07:45:00+00:00,1,2.948389,
BNBUSDT,15m,2026-08-10T08:00:00+00:00,1,3.071033,
BNBUSDT,15m,2026-08-10T08:15:00+00:00,1,3.297224,
BNBUSDT,15m,2026-08-10T08:30:00+00:00,1,3.116471,
BNBUSDT,15m,2026-08-10T08:45:00+00:00,1,3.520949,
BNBUSDT,15m,2026-08-10T09:00:00+00:00,2,4.041060,0.315501
BNBUSDT,15m,2026-08-10T09:15:00+00:00,2,3.438970,0.494862
BNBUSDT,15m,2026-08-10T09:30:00+00:00,2,3.612817,0.331974
BNBUSDT,15m,2026-08-10T09:45:00+00:00,2,3.384758,0.545300
BNBUSDT,15m,2026-08-10T10:00:00+00:00,2,4.412883,0.888609
BNBUSDT,15m,2026-08-10T10:15:00+00:00,2,4.002457,0.598833
BNBUSDT,15m,2026-08-10T10:30:00+00:00,2,5.011272,0.941793
BNBUSDT,15m,2026-08-10T10:45:00+00:00,2,5.007628,2.017237
BNBUSDT,15m,2026-08-10T11:00:00+00:00,2,4.911090,2.045055
BNBUSDT,15m,2026-08-10T11:15:00+00:00,2,4.696012,1.105829
BNBUSDT,15m,2026-08-10T11:30:00+00:00,2,4.710741,1.363673
BNBUSDT,15m,2026-08-10T11:45:00+00:00,3,5.014389,1.086056
BNBUSDT,15m,2026-08-10T12:00:00+00:00,3,4.720044,1.079137
BNBUSDT,15m,2026-08-10T12:15:00+00:00,3,4.510447,0.587011
BNBUSDT,15m,2026-08-10T12:30:00+00:00,3,3.759931,0.075826
BNBUSDT,15m,2026-08-10T12:45:00+00:00,3,2.287717,0.125353
BNBUSDT,15m,2026-08-10T13:00:00+00:00,3,2.217439,0.968254
BNBUSDT,15m,2026-08-10T13:15:00+00:00,3,1.573900,0.622804
BNBUSDT,15m,2026-08-10T13:30:00+00:00,3,0.758753,1.450496
BNBUSDT,15m,2026-08-10T13:45:00+00:00,3,0.155301,1.809122
BNBUSDT,15m,2026-08-10T14:00:00+00:00,3,0.612775,1.831333
BNBUSDT,15m,2026-08-10T14:15:00+00:00,3,1.173399,1.063734
BNBUSDT,15m,2026-08-10T14:30:00+00:00,3,1.698230,0.915407
BNBUSDT,15m,2026-08-10T14:45:00+00:00,3,1.085744,1.006024
BNBUSDT,15m,2026-08-10T15:00:00+00:00,3,0.223450,1.508047
BNBUSDT,15m,2026-08-10T15:15:00+00:00,3,0.143960,1.481955
BNBUSDT,15m,2026-08-10T15:30:00+00:00,3,0.139121,1.878871
BNBUSDT,15m,2026-08-10T15:45:00+00:00,3,0.827575,1.654547
BNBUSDT,15m,2026-08-10T16:00:00+00:00,3,0.864393,1.127914
BNBUSDT,15m,2026-08-10T16:15:00+00:00,3,0.625377,1.152820
BNBUSDT,15m,2026-08-10T16:30:00+00:00,3,0.983913,0.636556
BNBUSDT,15m,2026-08-10T16:45:00+00:00,3,1.187541,1.624843
BNBUSDT,15m,2026-08-10T17:00:00+00:00,3,1.373121,2.264922
BNBUSDT,15m,2026-08-10T17:15:00+00:00,3,0.039559,1.901228
BNBUSDT,15m,2026-08-10T17:30:00+00:00,3,0.450129,1.791721
BNBUSDT,15m,2026-08-10T17:45:00+00:00,4,0.387310,1.996887
BNBUSDT,15m,2026-08-10T18:00:00+00:00,4,0.674093,1.867233
BNBUSDT,15m,2026-08-10T18:15:00+00:00,4,0.572851,1.798357
BNBUSDT,15m,2026-08-10T18:30:00+00:00,4,0.181210,2.086044
BNBUSDT,15m,2026-08-10T18:45:00+00:00,4,0.032923,1.955649
BNBUSDT,15m,2026-08-10T19:00:00+00:00,4,0.887511,1.874013
BNBUSDT,15m,2026-08-10T19:15:00+00:00,4,1.180490,1.621984
BNBUSDT,15m,2026-08-10T19:30:00+00:00,4,1.183710,1.498813
BNBUSDT,15m,2026-08-10T19:45:00+00:00,4,1.570047,1.632452
BNBUSDT,15m,2026-08-10T20:00:00+00:00,4,1.690042,1.842346
BNBUSDT,15m,2026-08-10T20:15:00+00:00,2,1.858785,
BNBUSDT,15m,2026-08-10T20:30:00+00:00,2,2.114561,
BNBUSDT,15m,2026-08-10T20:45:00+00:00,2,2.149365,
BNBUSDT,15m,2026-08-10T21:00:00+00:00,2,1.144523,
BNBUSDT,15m,2026-08-10T21:15:00+00:00,3,1.282111,0.739665
BNBUSDT,15m,2026-08-10T21:30:00+00:00,3,1.534831,0.699917
BNBUSDT,15m,2026-08-10T21:45:00+00:00,3,0.449678,1.396136
BNBUSDT,15m,2026-08-10T22:00:00+00:00,3,0.078303,1.372839
BNBUSDT,15m,2026-08-10T22:15:00+00:00,3,0.882259,1.032843
BNBUSDT,15m,2026-08-10T22:30:00+00:00,3,0.302615,1.736600
BNBUSDT,15m,2026-08-10T22:45:00+00:00,2,3.739488,1.505925
BNBUSDT,15m,2026-08-10T23:00:00+00:00,2,3.768732,1.484688
BNBUSDT,15m,2026-08-10T23:15:00+00:00,2,3.446277,1.281061
BNBUSDT,15m,2026-08-10T23:30:00+00:00,1,,2.051502
BNBUSDT,15m,2026-08-10T23:45:00+00:00,1,,1.609305
BNBUSDT,15m,2026-08-11T00:00:00+00:00,1,,1.151145
BNBUSDT,15m,2026-08-11T00:15:00+00:00,1,,0.593862
BNBUSDT,15m,2026-08-11T00:30:00+00:00,1,,0.761838
BNBUSDT,15m,2026-08-11T00:45:00+00:00,1,,0.494873
BNBUSDT,15m,2026-08-11T01:00:00+00:00,1,,0.196756
BNBUSDT,15m,2026-08-11T01:15:00+00:00,1,,0.133652
BNBUSDT,15m,2026-08-11T01:30:00+00:00,1,,0.133149
BNBUSDT,15m,2026-08-11T01:45:00+00:00,1,,0.210764
BNBUSDT,15m,2026-08-11T02:00:00+00:00,1,,0.232651
BNBUSDT,15m,2026-08-11T02:15:00+00:00,2,,0.271577
BNBUSDT,15m,2026-08-11T02:30:00+00:00,1,,0.051903
BNBUSDT,15m,2026-08-11T02:45:00+00:00,1,,0.795279
BNBUSDT,15m,2026-08-11T03:00:00+00:00,1,,0.579554
BNBUSDT,15m,2026-08-11T03:15:00+00:00,2,0.385636,0.771667
BNBUSDT,15m,2026-08-11T03:30:00+00:00,2,0.224239,0.457375
BNBUSDT,15m,2026-08-11T03:45:00+00:00,2,0.155939,0.341630
BNBUSDT,15m,2026-08-11T04:00:00+00:00,3,0.518392,0.432703
BNBUSDT,15m,2026-08-11T04:15:00+00:00,3,0.003294,0.185419
BNBUSDT,15m,2026-08-11T04:30:00+00:00,3,0.445419,0.359086
BNBUSDT,15m,2026-08-11T04:45:00+00:00,3,0.986844,0.429718
BNBUSDT,15m,2026-08-11T05:00:00+00:00,5,1.640847,0.164117
BNBUSDT,15m,2026-08-11T05:15:00+00:00,4,0.432177,0.113266
BNBUSDT,15m,2026-08-11T05:30:00+00:00,4,0.378959,0.037854
BNBUSDT,15m,2026-08-11T05:45:00+00:00,6,0.361152,0.208842
BNBUSDT,15m,2026-08-11T06:00:00+00:00,6,0.097470,0.065532
BNBUSDT,15m,2026-08-11T06:15:00+00:00,5,0.127719,0.031676
