symbol,tf,ts,n_linhas,dist_sup,dist_res
ARBUSDT,15m,2026-08-09T23:45:00+00:00,6,3.767091,2.404130
ARBUSDT,15m,2026-08-10T00:00:00+00:00,6,3.548902,1.201712
ARBUSDT,15m,2026-08-10T00:15:00+00:00,6,2.881597,1.669979
ARBUSDT,15m,2026-08-10T00:30:00+00:00,6,4.005747,2.351631
ARBUSDT,15m,2026-08-10T00:45:00+00:00,6,1.753503,2.527396
ARBUSDT,15m,2026-08-10T01:00:00+00:00,6,0.958388,2.508870
ARBUSDT,15m,2026-08-10T01:15:00+00:00,6,0.796284,2.327600
ARBUSDT,15m,2026-08-10T01:30:00+00:00,6,1.221393,2.977473
ARBUSDT,15m,2026-08-10T01:45:00+00:00,6,0.986314,1.091648
ARBUSDT,15m,2026-08-10T02:00:00+00:00,6,0.084184,1.703485
ARBUSDT,15m,2026-08-10T02:15:00+00:00,6,0.592122,1.934265
ARBUSDT,15m,2026-08-10T02:30:00+00:00,6,0.252499,1.124337
ARBUSDT,15m,2026-08-10T02:45:00+00:00,6,0.847353,1.216200
ARBUSDT,15m,2026-08-10T03:00:00+00:00,4,0.344013,1.599855
ARBUSDT,15m,2026-08-10T03:15:00+00:00,4,0.019722,1.790323
ARBUSDT,15m,2026-08-10T03:30:00+00:00,4,0.056190,2.520059
ARBUSDT,15m,2026-08-10T03:45:00+00:00,4,0.159276,2.949548
ARBUSDT,15m,2026-08-10T04:00:00+00:00,4,0.238077,3.388448
ARBUSDT,15m,2026-08-10T04:15:00+00:00,3,0.135927,9.213072
ARBUSDT,15m,2026-08-10T04:30:00+00:00,3,0.117629,8.823858
ARBUSDT,15m,2026-08-10T04:45:00+00:00,3,0.463455,9.526742
ARBUSDT,15m,2026-08-10T05:00:00+00:00,3,0.066840,8.558139
ARBUSDT,15m,2026-08-10T05:15:00+00:00,3,0.640356,8.639484
ARBUSDT,15m,2026-08-10T05:30:00+00:00,3,1.137021,8.911097
ARBUSDT,15m,2026-08-10T05:45:00+00:00,3,1.590251,7.871944
ARBUSDT,15m,2026-08-10T06:00:00+00:00,3,2.145327,7.601488
ARBUSDT,15m,2026-08-10T06:15:00+00:00,3,2.037187,8.458706
ARBUSDT,15m,2026-08-10T06:30:00+00:00,3,2.182723,8.422464
ARBUSDT,15m,2026-08-10T06:45:00+00:00,3,1.866904,9.225411
ARBUSDT,15m,2026-08-10T07:00:00+00:00,3,1.975305,6.879660
ARBUSDT,15m,2026-08-10T07:15:00+00:00,3,2.803792,7.216285
ARBUSDT,15m,2026-08-10T07:30:00+00:00,3,3.166238,7.693734
ARBUSDT,15m,2026-08-10T07:45:00+00:00,3,3.172064,8.169999
ARBUSDT,15m,2026-08-10T08:00:00+00:00,3,3.341711,8.106158
ARBUSDT,15m,2026-08-10T08:15:00+00:00,3,2.980103,9.204669
ARBUSDT,15m,2026-08-10T08:30:00+00:00,3,2.040891,9.246316
ARBUSDT,15m,2026-08-10T08:45:00+00:00,4,1.949544,0.950116
ARBUSDT,15m,2026-08-10T09:00:00+00:00,4,2.683176,0.625816
ARBUSDT,15m,2026-08-10T09:15:00+00:00,4,2.081569,0.792068
ARBUSDT,15m,2026-08-10T09:30:00+00:00,5,0.443722,1.226019
