corridas 32 | barras usaveis 58224 | ocorrencias 10867
sinais declarados: 14 padroes
rotulos medidos: 108 (18 x 2 tf x 3 horizontes) | raros (n < 30 ou dias < 10): 36 | familia de Holm: 72
padrao             tf   h      n  dias     bruto     delta  IC95 baixo  IC95 alto        p     Holm   Holm/h
a_enforcado        1h   1     79    31    0.1250    0.1242     -0.1403     0.4260   0.3868    1.000    1.000
a_enforcado        1h   4     79    31    0.0339    0.0337     -0.5074     0.5456   0.8334    1.000    1.000
a_enforcado        1h  16     79    31   -0.3673   -0.3647     -1.4549     0.8694   0.6078    1.000    1.000
a_estrela_cadente   1h   1    104    31   -0.0653   -0.0647     -0.3883     0.2506   0.6540    1.000    1.000
a_estrela_cadente   1h   4    104    31    0.1576    0.1562     -0.1671     0.4993   0.3506    1.000    1.000
a_estrela_cadente   1h  16    104    31   -0.3954   -0.3918     -1.8396     0.9049   0.6408    1.000    1.000
a_martelo_invertido   1h   1     47    31   -0.1187   -0.1182     -0.3248     0.1200   0.3160    1.000    1.000
a_martelo_invertido   1h   4     47    31   -0.3240   -0.3226     -0.7864     0.1402   0.1876    1.000    1.000
a_martelo_invertido   1h  16     47    31   -0.9793   -0.9752     -1.9934    -0.0682   0.0324    1.000    0.713
a_doji_alta        1h   1    366    31   -0.0191   -0.0185     -0.1093     0.0751   0.7082    1.000    1.000
a_doji_alta        1h   4    366    31   -0.0310   -0.0300     -0.3275     0.2695   0.8858    1.000    1.000
a_doji_alta        1h  16    366    31   -0.3660   -0.3542     -0.9894     0.2341   0.2762    1.000    1.000
a_doji_baixa       1h   1    542    31    0.0236    0.0225     -0.0702     0.1176   0.5694    1.000    1.000
a_doji_baixa       1h   4    542    31   -0.1163   -0.1108     -0.3754     0.1684   0.4654    1.000    1.000
a_doji_baixa       1h  16    542    31   -0.2092   -0.1992     -0.5882     0.2402   0.4034    1.000    1.000
a_marubozu_alta    1h   1    144    31    0.2742    0.2707     -0.0091     0.5978   0.0618    1.000    1.000
a_marubozu_alta    1h   4    144    31    0.3872    0.3822     -0.0470     0.8535   0.0842    1.000    1.000
a_marubozu_alta    1h  16    144    31    0.6166    0.6088     -0.2696     1.3973   0.1660    1.000    1.000
a_marubozu_baixa   1h   1     90    31   -0.2037   -0.2021     -0.3011    -0.1011   0.0001    0.007    0.002
a_marubozu_baixa   1h   4     90    31   -0.0704   -0.0699     -0.3783     0.2893   0.6572    1.000    1.000
a_marubozu_baixa   1h  16     90    31   -0.1765   -0.1751     -1.1619     0.6708   0.6708    1.000    1.000
a_engolfo_alta     1h   1    224    31   -0.0151   -0.0148     -0.1274     0.1085   0.8056    1.000    1.000
a_engolfo_alta     1h   4    224    31   -0.1113   -0.1091     -0.3719     0.1512   0.4366    1.000    1.000
a_engolfo_alta     1h  16    224    31    0.5166    0.5064     -0.2635     1.6498   0.2798    1.000    1.000
a_engolfo_baixa    1h   1    295    31    0.0692    0.0674     -0.0647     0.1993   0.3318    1.000    1.000
a_engolfo_baixa    1h   4    295    31    0.1217    0.1185     -0.1304     0.4348   0.4520    1.000    1.000
