dia,atr_pct,r_net,coorte
2026-08-20,0.006032412939617125843666402209,1.2616527722,d0f77894
2026-08-20,0.006332945768169818798413613202,0.1093816837,d0f77894
2026-08-20,0.00643980810695267685315975585,0.6062038960,d0f77894
2026-08-20,0.007233907322433574602936196663,1.3228758699,d0f77894
2026-08-20,0.01741948080326172194446009916,1.6753530335,d0f77894
2026-08-21,0.006235895485909628526412857445,2.1334352649,d0f77894
2026-08-21,0.008688890374173693118066790199,1.0052476043,d0f77894
2026-08-21,0.009248913444825570987291047095,1.0649814889,d0f77894
2026-08-21,0.01048124580649304986903512841,1.6053631043,d0f77894
2026-08-21,0.0120106895109463363957524398,1.6883550861,d0f77894
2026-08-21,0.01314623338183249375520913074,-1.0978207788,d0f77894
2026-08-22,0.01050922790584598549891946864,-1.1880147026,d0f77894
2026-08-22,0.01462454127873617267709090868,0.8968620474,d0f77894
2026-08-22,0.02097915752194151305783014686,0.8457086750,d0f77894
2026-08-22,0.02828768492902214481403556656,0.1229391942,d0f77894
2026-08-22,0.03116431526144051280803910722,-1.0498866359,d0f77894
2026-08-22,0.03564523392344247034340537683,0.9224815885,d0f77894
2026-08-23,0.01043695324556198615841905855,1.2223857659,d0f77894
2026-08-24,0.006853601985165101186687331188,1.3800136500,d0f77894
2026-08-24,0.00745962912195987275083889763,0.1650380896,d0f77894
2026-08-24,0.007566785122799852416044565884,-1.2876465005,d0f77894
2026-08-25,0.006723847989727857262978683214,-1.1820574850,d0f77894
2026-08-25,0.007599901781820415170464533985,-1.1482030780,d0f77894
2026-08-25,0.008296068218585138240979438934,-1.1600488767,d0f77894
2026-08-25,0.009347090149869657204387424262,-1.1306587220,d0f77894
2026-08-27,0.006592317435981711590948829282,-1.1695986875,d0f77894
2026-08-27,0.0071272442197797874958606448,1.3282381173,d0f77894
2026-08-27,0.008154545188080097008617452765,0.8578866391,d0f77894
2026-08-28,0.006737792565519977970417638871,-1.2189853486,d0f77894
2026-08-28,0.007191159694852003514589674077,-1.2148102003,d0f77894
2026-09-03,0.006737039519408784837634698336,-1.1738163876,d0f77894
2026-09-03,0.006948836066349886534295787553,-1.1717354185,d0f77894
2026-09-03,0.007753423139985408109113110747,-1.1471385881,d0f77894
2026-09-05,0.008158348093982564598078297069,-1.1846160415,d0f77894
2026-09-06,0.00610916784407228883809074106,0.8220572139,d0f77894
2026-09-06,0.007083860597016040620826960228,-1.1668062716,d0f77894
2026-09-06,0.007152206150060171754921333083,1.1245293034,d0f77894
