dia,atr_pct,r_net,coorte
2026-08-20,0.006032412939617125843666402209,1.3304867418,8ac79cca
2026-08-20,0.006332945768169818798413613202,0.0797889190,8ac79cca
2026-08-20,0.00643980810695267685315975585,0.8385605295,8ac79cca
2026-08-20,0.007233907322433574602936196663,1.3817191949,8ac79cca
2026-08-20,0.01741948080326172194446009916,1.3543871096,8ac79cca
2026-08-21,0.006235895485909628526412857445,1.8744401871,8ac79cca
2026-08-21,0.008688890374173693118066790199,0.5713464543,8ac79cca
2026-08-21,0.009248913444825570987291047095,0.6629345345,8ac79cca
2026-08-21,0.01048124580649304986903512841,0.7713418300,8ac79cca
2026-08-21,0.01314623338183249375520913074,0.5008504489,8ac79cca
2026-08-22,0.01050922790584598549891946864,-0.3050085123,8ac79cca
2026-08-22,0.01462454127873617267709090868,0.6044631954,8ac79cca
2026-08-22,0.02097915752194151305783014686,0.5494239801,8ac79cca
2026-08-22,0.02620884222581916910452047065,-0.9201406370,8ac79cca
2026-08-22,0.03116431526144051280803910722,-1.0314407507,8ac79cca
2026-08-22,0.03564523392344247034340537683,0.5022492617,8ac79cca
2026-08-23,0.01043695324556198615841905855,1.3106642857,8ac79cca
2026-08-24,0.006853601985165101186687331188,-1.1384742561,8ac79cca
2026-08-24,0.007566785122799852416044565884,0.4181179121,8ac79cca
2026-08-25,0.006723847989727857262978683214,-1.1261890505,8ac79cca
2026-08-25,0.007599901781820415170464533985,-1.1052461437,8ac79cca
2026-08-25,0.009347090149869657204387424262,-1.0904924022,8ac79cca
2026-08-27,0.006592317435981711590948829282,1.0240525032,8ac79cca
2026-08-27,0.0071272442197797874958606448,0.6327372887,8ac79cca
2026-08-27,0.008154545188080097008617452765,0.1411650521,8ac79cca
2026-08-28,0.006737792565519977970417638871,-1.1428139997,8ac79cca
2026-08-28,0.007191159694852003514589674077,-1.1378073412,8ac79cca
2026-09-03,0.006737039519408784837634698336,-1.1246015471,8ac79cca
2026-09-03,0.006948836066349886534295787553,-1.1199415262,8ac79cca
2026-09-03,0.007753423139985408109113110747,-0.7785603423,8ac79cca
2026-09-05,0.008158348093982564598078297069,0.6691969885,8ac79cca
2026-09-06,0.00610916784407228883809074106,0.0718081718,8ac79cca
2026-09-06,0.007083860597016040620826960228,-0.4487343513,8ac79cca
