symbol,cohort,entry_ts,exit_ts,motivo,interval_s,updated_at
PROMUSDT,replay:c7d138eb-a633-4457-a4fa-aa82a5df95e3,2026-06-26T22:16:00.000,2026-06-27T02:16:00.000,funding_schedule_unknown,"",2026-09-10T02:37:40
PROMUSDT,replay:c7d138eb-a633-4457-a4fa-aa82a5df95e3,2026-06-27T05:16:00.000,2026-06-27T09:16:00.000,funding_schedule_unknown,"",2026-09-10T02:37:41
PROMUSDT,replay:c7d138eb-a633-4457-a4fa-aa82a5df95e3,2026-06-27T17:16:00.000,2026-06-27T20:46:00.000,funding_schedule_unknown,"",2026-09-10T02:37:43
PROMUSDT,replay:c7d138eb-a633-4457-a4fa-aa82a5df95e3,2026-06-29T22:31:00.000,2026-06-30T02:31:00.000,funding_schedule_unknown,"",2026-09-10T02:37:50
PROMUSDT,replay:c7d138eb-a633-4457-a4fa-aa82a5df95e3,2026-07-01T18:31:00.000,2026-07-01T22:31:00.000,funding_schedule_unknown,"",2026-09-10T02:37:56
PROMUSDT,replay:fa005985-0b55-4820-904c-8ada589e441c,2026-07-02T06:46:00.000,2026-07-02T08:58:00.000,funding_schedule_unknown,"",2026-09-10T03:17:33
PROMUSDT,replay:c7d138eb-a633-4457-a4fa-aa82a5df95e3,2026-07-02T06:46:00.000,2026-07-02T10:46:00.000,funding_schedule_unknown,"",2026-09-10T02:37:58
PROMUSDT,replay:c7d138eb-a633-4457-a4fa-aa82a5df95e3,2026-07-04T23:31:00.000,2026-07-05T03:31:00.000,funding_schedule_unknown,"",2026-09-10T02:38:06
PROMUSDT,replay:c7d138eb-a633-4457-a4fa-aa82a5df95e3,2026-07-07T02:16:00.000,2026-07-07T06:16:00.000,funding_schedule_unknown,"",2026-09-10T02:38:13
PROMUSDT,replay:c7d138eb-a633-4457-a4fa-aa82a5df95e3,2026-07-07T20:01:00.000,2026-07-07T22:06:00.000,funding_schedule_unknown,"",2026-09-10T02:38:16
PROMUSDT,replay:fa005985-0b55-4820-904c-8ada589e441c,2026-07-07T20:01:00.000,2026-07-07T21:01:00.000,funding_schedule_unknown,"",2026-09-10T03:17:52
