escopo,symbol,tipo,n_desfechos,d_stop_p10,d_stop_p50,d_stop_p90,apostas_unicas,dias_com_aposta,r_soma,r_medio,acertos,com_r
mercado,TRIAUSDT,perpetual,6,0.00886754,0.01382051,0.02309754,1,1,1.633094,1.633094,1,1
mercado,TRUTHUSDT,perpetual,14,0.01330231,0.01983378,0.03717121,2,1,2.756829,1.378414,2,2
mercado,UAIUSDT,perpetual,8,0.01478412,0.02550113,0.04379672,1,1,-1.093680,-1.093680,0,1
mercado,USELESSUSDT,perpetual,21,0.02281353,0.03418482,0.04947838,4,3,-0.378514,-0.094628,2,4
mercado,VETUSDT,perpetual,17,0.01023592,0.01897643,0.02571427,4,3,1.509896,0.377474,3,4
mercado,VTHOUSDT,perpetual,7,0.04817576,0.07196391,0.08147917,1,1,-1.028056,-1.028056,0,1
mercado,VVVUSDT,perpetual,16,0.01980369,0.02940572,0.05369368,2,1,1.352196,1.352196,1,1
mercado,WLFIUSDT,perpetual,1,0.01609597,0.01609597,0.01609597,1,1,-0.016799,-0.016799,0,1
mercado,XANUSDT,perpetual,8,0.01251673,0.01976745,0.03227162,1,1,-1.110831,-1.110831,0,1
mercado,XMRUSDT,perpetual,2,0.02042839,0.02087010,0.02131182,2,2,-1.542870,-0.771435,0,2
mercado,XPLUSDT,perpetual,7,0.01235612,0.01813231,0.02983165,1,1,-1.112285,-1.112285,0,1
mercado,XRPUSDT,perpetual,1,0.00705005,0.00705005,0.00705005,1,1,0.075422,0.075422,1,1
mercado,XRPUSDT,spot,1,0.00713656,0.00713656,0.00713656,1,1,,,0,0
mercado,XTZUSDT,perpetual,7,0.02213346,0.03290037,0.04409061,1,1,0.338520,0.338520,1,1
mercado,XVGUSDT,perpetual,8,0.01872012,0.02855969,0.04016035,1,1,-1.073773,-1.073773,0,1
mercado,ZECUSDT,perpetual,19,0.01044116,0.01392813,0.02048963,6,2,-5.963450,-0.993908,0,6
mercado,ZECUSDT,spot,7,0.01030766,0.01572316,0.02480734,1,1,,,0,0
mercado,ZENUSDT,perpetual,10,0.01083688,0.02262428,0.03535881,2,2,0.077829,0.038915,1,2
mercado,ZESTUSDT,perpetual,8,0.02406361,0.03912337,0.05464580,1,1,-1.057169,-1.057169,0,1
mercado,ZILUSDT,perpetual,6,0.02114179,0.02575281,0.03497483,1,1,0.814015,0.814015,1,1
mercado,ZKUSDT,perpetual,8,0.01189977,0.01793245,0.02540988,1,1,-1.116629,-1.116629,0,1
