symbol,tipo,hora_brt,participacao,d_stop,fonte_d_stop,ref_p10,ref_p50,ref_p90,notional_p10,notional_p50,notional_p90,r_brl_p10,r_brl_p50,r_brl_p90
ARBUSDT,perpetual,12,0.01,0.02114179,mediana_da_familia,3553.77,17196.41,230295.39,35.54,171.96,2302.95,3.85,18.61,249.28
ARBUSDT,perpetual,12,0.02,0.02114179,mediana_da_familia,3553.77,17196.41,230295.39,71.08,343.93,4605.91,7.69,37.23,498.55
ARBUSDT,perpetual,12,0.05,0.02114179,mediana_da_familia,3553.77,17196.41,230295.39,177.69,859.82,11514.77,19.23,93.07,1246.38
ARBUSDT,perpetual,13,0.01,0.02114179,mediana_da_familia,4417.24,17034.65,194289.50,44.17,170.35,1942.90,4.78,18.44,210.30
ARBUSDT,perpetual,13,0.02,0.02114179,mediana_da_familia,4417.24,17034.65,194289.50,88.34,340.69,3885.79,9.56,36.88,420.60
ARBUSDT,perpetual,13,0.05,0.02114179,mediana_da_familia,4417.24,17034.65,194289.50,220.86,851.73,9714.48,23.91,92.19,1051.51
ARBUSDT,perpetual,14,0.01,0.02114179,mediana_da_familia,2913.01,13242.40,137326.57,29.13,132.42,1373.27,3.15,14.33,148.64
ARBUSDT,perpetual,14,0.02,0.02114179,mediana_da_familia,2913.01,13242.40,137326.57,58.26,264.85,2746.53,6.31,28.67,297.29
ARBUSDT,perpetual,14,0.05,0.02114179,mediana_da_familia,2913.01,13242.40,137326.57,145.65,662.12,6866.33,15.77,71.67,743.22
ARBUSDT,perpetual,15,0.01,0.02114179,mediana_da_familia,2396.59,10570.68,167728.96,23.97,105.71,1677.29,2.59,11.44,181.55
ARBUSDT,perpetual,15,0.02,0.02114179,mediana_da_familia,2396.59,10570.68,167728.96,47.93,211.41,3354.58,5.19,22.88,363.11
ARBUSDT,perpetual,15,0.05,0.02114179,mediana_da_familia,2396.59,10570.68,167728.96,119.83,528.53,8386.45,12.97,57.21,907.76
ARBUSDT,perpetual,16,0.01,0.02114179,mediana_da_familia,2133.25,9768.36,124306.09,21.33,97.68,1243.06,2.31,10.57,134.55
ARBUSDT,perpetual,16,0.02,0.02114179,mediana_da_familia,2133.25,9768.36,124306.09,42.66,195.37,2486.12,4.62,21.15,269.10
ARBUSDT,perpetual,16,0.05,0.02114179,mediana_da_familia,2133.25,9768.36,124306.09,106.66,488.42,6215.30,11.55,52.87,672.76
ARBUSDT,perpetual,17,0.01,0.02114179,mediana_da_familia,1947.26,10590.23,123547.34,19.47,105.90,1235.47,2.11,11.46,133.73
ARBUSDT,perpetual,17,0.02,0.02114179,mediana_da_familia,1947.26,10590.23,123547.34,38.95,211.80,2470.95,4.22,22.93,267.46
ARBUSDT,perpetual,17,0.05,0.02114179,mediana_da_familia,1947.26,10590.23,123547.34,97.36,529.51,6177.37,10.54,57.32,668.65
ARBUSDT,perpetual,18,0.01,0.02114179,mediana_da_familia,1915.55,10553.51,129173.01,19.16,105.54,1291.73,2.07,11.42,139.82
ARBUSDT,perpetual,18,0.02,0.02114179,mediana_da_familia,1915.55,10553.51,129173.01,38.31,211.07,2583.46,4.15,22.85,279.64
ARBUSDT,perpetual,18,0.05,0.02114179,mediana_da_familia,1915.55,10553.51,129173.01,95.78,527.68,6458.65,10.37,57.12,699.10
ARBUSDT,perpetual,19,0.01,0.02114179,mediana_da_familia,2248.42,10781.84,159959.10,22.48,107.82,1599.59,2.43,11.67,173.14
ARBUSDT,perpetual,19,0.02,0.02114179,mediana_da_familia,2248.42,10781.84,159959.10,44.97,215.64,3199.18,4.87,23.34,346.29
ARBUSDT,perpetual,19,0.05,0.02114179,mediana_da_familia,2248.42,10781.84,159959.10,112.42,539.09,7997.95,12.17,58.35,865.71
ARBUSDT,perpetual,20,0.01,0.02114179,mediana_da_familia,2813.04,12556.65,103916.98,28.13,125.57,1039.17,3.04,13.59,112.48
ARBUSDT,perpetual,20,0.02,0.02114179,mediana_da_familia,2813.04,12556.65,103916.98,56.26,251.13,2078.34,6.09,27.18,224.96
ARBUSDT,perpetual,20,0.05,0.02114179,mediana_da_familia,2813.04,12556.65,103916.98,140.65,627.83,5195.85,15.22,67.96,562.41
ARBUSDT,perpetual,21,0.01,0.02114179,mediana_da_familia,3439.20,14029.85,145489.22,34.39,140.30,1454.89,3.72,15.19,157.48
ARBUSDT,perpetual,21,0.02,0.02114179,mediana_da_familia,3439.20,14029.85,145489.22,68.78,280.60,2909.78,7.45,30.37,314.96
ARBUSDT,perpetual,21,0.05,0.02114179,mediana_da_familia,3439.20,14029.85,145489.22,171.96,701.49,7274.46,18.61,75.93,787.40
ARBUSDT,perpetual,22,0.01,0.02114179,mediana_da_familia,3266.38,12620.68,219320.58,32.66,126.21,2193.21,3.54,13.66,237.40
