versao,dia,mercado,original,janela,barra,rotulo,r_exf,r_net,r_bruto,risco_pct
mean_reversion v10,2026-06-17,DASHUSDT,f,J1,2026-06-17T05:30:00Z,UNKNOWN,-1.080547,,-0.965067,0.017165
mean_reversion v10,2026-06-17,PROMUSDT,f,J1,2026-06-17T05:30:00Z,UNKNOWN,0.628087,,0.720466,0.021807
mean_reversion v10,2026-06-17,LINKUSDT,f,J1,2026-06-17T07:00:00Z,UNKNOWN,-1.088396,,-0.961704,0.015658
mean_reversion v10,2026-06-17,ARBUSDT,f,J1,2026-06-17T07:45:00Z,UNKNOWN,-1.069060,,-0.969987,0.019980
mean_reversion v10,2026-06-17,SUIUSDT,f,J1,2026-06-17T07:45:00Z,UNKNOWN,-1.074697,,-0.967572,0.018492
mean_reversion v10,2026-06-17,ZECUSDT,f,J1,2026-06-17T08:00:00Z,UNKNOWN,-1.050367,,-0.977995,0.027250
mean_reversion v10,2026-06-17,TAOUSDT,f,J1,2026-06-17T18:30:00Z,UNKNOWN,-1.056967,,-0.975168,0.024147
mean_reversion v10,2026-06-17,NEARUSDT,f,J1,2026-06-17T18:30:00Z,UNKNOWN,-1.049235,,-0.978480,0.027865
mean_reversion v10,2026-06-18,PROMUSDT,f,J1,2026-06-18T05:30:00Z,UNKNOWN,0.262346,,0.326707,0.031214
mean_reversion v10,2026-06-18,NEARUSDT,f,J1,2026-06-18T17:45:00Z,UNKNOWN,0.116541,,0.175492,0.034007
mean_reversion v10,2026-06-19,UNIUSDT,f,J1,2026-06-19T03:30:00Z,UNKNOWN,-0.210739,,-0.149609,0.032618
mean_reversion v10,2026-06-19,LINKUSDT,f,J1,2026-06-19T03:30:00Z,UNKNOWN,-0.364595,,-0.230136,0.014840
mean_reversion v10,2026-06-19,ARBUSDT,f,J1,2026-06-19T04:00:00Z,UNKNOWN,-1.066273,,-0.971181,0.020807
mean_reversion v10,2026-06-19,SOLUSDT,t,J1,2026-06-19T19:30:00Z,UNKNOWN,0.443310,,0.579002,0.014793
mean_reversion v10,2026-06-19,ZECUSDT,f,J1,2026-06-19T19:45:00Z,UNKNOWN,1.211548,,1.279910,0.029796
mean_reversion v10,2026-06-20,NEARUSDT,f,J1,2026-06-20T07:30:00Z,UNKNOWN,-0.630195,,-0.541154,0.022313
mean_reversion v10,2026-06-20,TAOUSDT,f,J1,2026-06-20T11:30:00Z,UNKNOWN,0.556114,,0.654837,0.020382
mean_reversion v10,2026-06-20,ARBUSDT,f,J1,2026-06-20T11:45:00Z,UNKNOWN,-1.085785,,-0.962822,0.016129
mean_reversion v10,2026-06-20,ZECUSDT,f,J1,2026-06-20T13:45:00Z,UNKNOWN,1.255920,,1.339582,0.024280
mean_reversion v10,2026-06-20,SOLUSDT,t,J1,2026-06-20T13:45:00Z,UNKNOWN,1.223950,,1.364251,0.014386
mean_reversion v10,2026-06-20,UNIUSDT,f,J1,2026-06-20T13:45:00Z,UNKNOWN,-0.053929,,0.054164,0.018501
mean_reversion v10,2026-06-20,DASHUSDT,f,J1,2026-06-20T13:45:00Z,UNKNOWN,-0.080114,,0.000000,0.024949
mean_reversion v10,2026-06-20,PROMUSDT,f,J1,2026-06-20T18:15:00Z,UNKNOWN,0.308769,,0.363258,0.036929
mean_reversion v10,2026-06-21,SAHARAUSDT,f,J1,2026-06-21T00:45:00Z,UNKNOWN,1.434280,,1.568392,0.015080
mean_reversion v10,2026-06-21,PROMUSDT,f,J1,2026-06-21T01:00:00Z,UNKNOWN,0.598406,,0.664526,0.030537
mean_reversion v10,2026-06-21,ARBUSDT,f,J1,2026-06-21T03:00:00Z,UNKNOWN,-0.465662,,-0.323400,0.014018
mean_reversion v10,2026-06-21,NEARUSDT,f,J1,2026-06-21T03:00:00Z,UNKNOWN,1.281896,,1.387178,0.019239
mean_reversion v10,2026-06-21,SOLUSDT,t,J1,2026-06-21T06:00:00Z,LOW_VOLATILITY,0.659324,,0.797315,0.014569
mean_reversion v10,2026-06-21,TAOUSDT,f,J1,2026-06-21T08:45:00Z,LOW_VOLATILITY,-0.306333,,-0.213147,0.021401
mean_reversion v10,2026-06-21,SAHARAUSDT,f,J1,2026-06-21T11:45:00Z,LOW_VOLATILITY,0.052230,,0.152942,0.019877
mean_reversion v10,2026-06-21,SOLUSDT,t,J1,2026-06-21T12:30:00Z,LOW_VOLATILITY,0.766133,,0.902987,0.014702
mean_reversion v10,2026-06-21,TAOUSDT,f,J1,2026-06-21T21:30:00Z,LOW_VOLATILITY,0.413520,,0.506183,0.021689
mean_reversion v10,2026-06-22,SOLUSDT,t,J1,2026-06-22T09:45:00Z,SIDEWAYS,0.696259,,0.823548,0.015805
mean_reversion v10,2026-06-22,ETHUSDT,t,J1,2026-06-22T16:15:00Z,HIGH_VOLATILITY,-0.306055,,-0.151120,0.012888
mean_reversion v10,2026-06-22,LINKUSDT,f,J1,2026-06-22T16:15:00Z,HIGH_VOLATILITY,-0.476068,,-0.335707,0.014206
mean_reversion v10,2026-06-22,ZECUSDT,f,J1,2026-06-22T16:15:00Z,HIGH_VOLATILITY,-0.140706,,-0.050248,0.022084
mean_reversion v10,2026-06-22,ARBUSDT,f,J1,2026-06-22T16:15:00Z,HIGH_VOLATILITY,-0.519156,,-0.412446,0.018659
mean_reversion v10,2026-06-22,XRPUSDT,t,J1,2026-06-22T16:15:00Z,HIGH_VOLATILITY,-0.478554,,-0.340461,0.014439
mean_reversion v10,2026-06-22,SUIUSDT,f,J1,2026-06-22T16:30:00Z,HIGH_VOLATILITY,0.246911,,0.341982,0.021100
mean_reversion v10,2026-06-22,UNIUSDT,f,J1,2026-06-22T17:00:00Z,HIGH_VOLATILITY,-0.566852,,-0.481271,0.023225
mean_reversion v10,2026-06-23,DASHUSDT,f,J1,2026-06-23T06:45:00Z,SIDEWAYS,-1.067403,,-0.970697,0.020463
mean_reversion v10,2026-06-24,PROMUSDT,f,J1,2026-06-24T01:30:00Z,BTC_BEAR,-0.005048,,0.103012,0.018515
mean_reversion v10,2026-06-24,NEARUSDT,f,J1,2026-06-24T02:45:00Z,BTC_BEAR,-0.103005,,0.000000,0.019405
mean_reversion v10,2026-06-24,SUIUSDT,f,J1,2026-06-24T02:45:00Z,BTC_BEAR,0.067623,,0.163275,0.020932
mean_reversion v10,2026-06-24,TAOUSDT,f,J1,2026-06-24T02:45:00Z,BTC_BEAR,1.289651,,1.394553,0.019310
mean_reversion v10,2026-06-24,SOLUSDT,t,J1,2026-06-24T03:30:00Z,BTC_BEAR,0.009998,,0.135719,0.015916
mean_reversion v10,2026-06-24,UNIUSDT,f,J1,2026-06-24T03:30:00Z,BTC_BEAR,-0.133473,,-0.034189,0.020125
mean_reversion v10,2026-06-24,DOGEUSDT,t,J1,2026-06-24T04:45:00Z,BTC_BEAR,0.039897,,0.189717,0.013358
mean_reversion v10,2026-06-24,DASHUSDT,f,J1,2026-06-24T05:15:00Z,BTC_BEAR,-0.110094,,-0.032582,0.025776
mean_reversion v10,2026-06-24,SAHARAUSDT,f,J1,2026-06-24T06:45:00Z,BTC_BEAR,1.477839,,1.528453,0.040721
mean_reversion v10,2026-06-24,SOLUSDT,t,J1,2026-06-24T08:15:00Z,BTC_BEAR,0.287299,,0.446418,0.012597
mean_reversion v10,2026-06-24,TAOUSDT,f,J1,2026-06-24T10:45:00Z,BTC_BEAR,-1.078830,,-0.965802,0.017534
mean_reversion v10,2026-06-24,SAHARAUSDT,f,J1,2026-06-24T13:00:00Z,BTC_BEAR,-1.024556,,-0.989052,0.054774
mean_reversion v10,2026-06-24,ZECUSDT,f,J1,2026-06-24T13:30:00Z,BTC_BEAR,-1.074269,,-0.967756,0.018597
mean_reversion v10,2026-06-24,SOLUSDT,t,J1,2026-06-24T13:30:00Z,BTC_BEAR,-1.130005,,-0.943879,0.010685
mean_reversion v10,2026-06-24,PROMUSDT,f,J1,2026-06-24T14:00:00Z,BTC_BEAR,-1.061479,,-0.973235,0.022404
mean_reversion v10,2026-06-24,PROMUSDT,f,J1,2026-06-24T17:45:00Z,HIGH_VOLATILITY,1.574346,,1.659461,0.023950
mean_reversion v10,2026-06-25,PROMUSDT,f,J1,2026-06-25T01:00:00Z,HIGH_VOLATILITY,0.026716,,0.097149,0.028418
mean_reversion v10,2026-06-25,NEARUSDT,f,J1,2026-06-25T02:30:00Z,HIGH_VOLATILITY,0.377292,,0.463802,0.023229
mean_reversion v10,2026-06-25,ZECUSDT,f,J1,2026-06-25T03:00:00Z,HIGH_VOLATILITY,0.168585,,0.232925,0.031179
mean_reversion v10,2026-06-25,NEARUSDT,f,J1,2026-06-25T09:30:00Z,HIGH_VOLATILITY,-1.066358,,-0.971145,0.020781
mean_reversion v10,2026-06-25,DOGEUSDT,t,J1,2026-06-25T09:45:00Z,HIGH_VOLATILITY,-1.078090,,-0.966119,0.017698
mean_reversion v10,2026-06-25,BNBUSDT,f,J1,2026-06-25T09:45:00Z,HIGH_VOLATILITY,-1.109180,,-0.952800,0.012704
mean_reversion v10,2026-06-25,LINKUSDT,f,J1,2026-06-25T09:45:00Z,HIGH_VOLATILITY,-1.078704,,-0.965856,0.017562
