versao,mercado,dia,hora_utc,emitted_at,resultado,r_net,r_exf,p_entry,exit_base,risk,atr_pct
mean_reversion v10,ZECUSDT,2026-08-09,16,2026-08-09 16:45:02+00,expired,-0.5623315215,-0.5623315215012108997273918991,518.57095600000000,515.2800000000,7.1373212451,0.008423531599320258211964538239
mean_reversion v10,PROMUSDT,2026-08-09,17,2026-08-09 17:30:02+00,stop,-1.0503916682,-1.048636221285302794711643621,2.15329120000000,2.0925672894,0.0607239106,0.01870097735055528113766020886
mean_reversion v10,TAOUSDT,2026-08-09,17,2026-08-09 17:45:02+00,expired,-0.2570071752,-0.2546617221715067829411601648,207.31431400000000,206.4800000000,4.4124030923,0.01368522422772719279193146555
mean_reversion v10,PROMUSDT,2026-08-09,21,2026-08-09 21:00:02+00,expired,-0.6117530173,-0.6101944760350677276512149430,2.09425580000000,2.0570000000,0.0657987088,0.0220981597865433199335685832
mean_reversion v10,UNIUSDT,2026-08-09,23,2026-08-09 23:45:02+00,target,1.1778397379,1.184404530370814356285114340,3.99739700000000,4.0749964789,0.0607279859,0.009153182122524704263676916908
mean_reversion v10,ARBUSDT,2026-08-10,10,2026-08-10 10:45:02+00,expired,0.5422086518,0.5422086518008599232017284560,0.07950767600000,0.0803100000,0.0012729974,0.0104258979601317346263410905
mean_reversion v10,NEARUSDT,2026-08-10,10,2026-08-10 10:45:02+00,expired,-0.0112253110,-0.01122531104404384018794482546,1.64998940000000,1.6520000000,0.0268143376,0.01044698122102814601936210667
mean_reversion v10,SAHARAUSDT,2026-08-10,15,2026-08-10 15:30:02+00,expired,-0.5734779339,-0.5704644569266684839105944606,0.00840403940000,0.0083360000,0.0001397721,0.01000929819726922727959689279
mean_reversion v10,NEARUSDT,2026-08-10,15,2026-08-10 15:30:02+00,stop,-1.0898343808,-1.083850232458715608409730036,1.63898280000000,1.6119447002,0.0270380998,0.01054656944424443847333513515
mean_reversion v10,LINKUSDT,2026-08-10,18,2026-08-10 18:45:02+00,expired,0.5910352472,0.5910352471546884290945483400,8.22092960000000,8.2870000000,0.0922060356,0.008107077017871233959591309396
mean_reversion v10,ARBUSDT,2026-08-11,4,2026-08-11 04:45:02+00,expired,-0.3794309849,-0.3784036914844051932462328286,0.08028814400000,0.0799200000,0.0012689096,0.01019520874144598799662836424
mean_reversion v10,LINKUSDT,2026-08-11,16,2026-08-11 16:00:02+00,expired,0.5443508628,0.5443508628109989660148031692,8.55012700000000,8.6220000000,0.1099162738,0.009482930296720469133741621592
mean_reversion v10,LINKUSDT,2026-08-12,3,2026-08-12 03:30:02+00,expired,-0.0635787952,-0.06357879519036712113580724351,8.74124160000000,8.7460000000,0.1176807075,0.008955929805774149551876844135
mean_reversion v10,ARBUSDT,2026-08-12,5,2026-08-12 05:15:02+00,stop,-1.0894660331,-1.089466033107661299344073167,0.07972780800000,0.0784941948,0.0012336132,0.01001889521848453737276461525
mean_reversion v10,TAOUSDT,2026-08-12,5,2026-08-12 05:45:02+00,expired,0.1130839024,0.1164404484275729072546633323,203.63210600000000,204.2700000000,3.0248954479,0.009625452026133144363700951992
