signal_id,versao,versao_num,coorte,symbol,base_asset,bar_utc,entry_utc,exit_utc,dia_br,hora_br,motivo,r_net,r_exf,p_entry,entry_base,risk,risco_pct,mae,mae_bar_utc,min_notional,step_size,fee_bps,spread_bps,slippage_bps,vol_min_anterior,vol_mediana_30,barras_30,vol_24h,barras_24h
fc79ed0d-c760-5ab2-b83f-5d9825489968,mean_reversion v12,v12,replay,ETHUSDT,ETH,2026-08-20T13:45:00Z,2026-08-20T13:46:00Z,2026-08-20T17:46:00Z,2026-08-20,10,expired,1.0985634638,1.102464379058328391860571343,2273.76344000000000,2272.400000000000,59.6163269581,0.02623496,9.09344,2026-08-20T13:49:00Z,20.0000000000,0.0010000000,4,2,5,15306350.7535600000,15995243.30094,30,27459802440.8490900000,1440
6aaeca5e-07bb-5082-8b3d-3f4d32963112,mean_reversion v12,v12,replay,SOLUSDT,SOL,2026-08-20T13:45:00Z,2026-08-20T13:46:00Z,2026-08-20T17:46:00Z,2026-08-20,10,expired,0.3545157320,0.3595336732651262886268714133,86.74201400000000,86.690000000000,1.7406441692,0.02007895,0.612014,2026-08-20T14:47:00Z,5.0000000000,0.0100000000,4,2,5,1514396.5464000000,2289014.5233,30,3428162436.4498000000,1440
b9b14c83-df70-5237-a75e-9ff4d959a1d4,mean_reversion v13,v13,replay,ETHUSDT,ETH,2026-08-20T13:45:00Z,2026-08-20T13:46:00Z,2026-08-20T17:46:00Z,2026-08-20,10,expired,1.0985634638,1.102464379058328391860571343,2273.76344000000000,2272.400000000000,59.6163269581,0.02623496,9.09344,2026-08-20T13:49:00Z,20.0000000000,0.0010000000,4,2,5,15306350.7535600000,15995243.30094,30,27459802440.8490900000,1440
33bc4113-d2c3-5ce8-a819-d9fff67c97d1,mean_reversion v13,v13,replay,SOLUSDT,SOL,2026-08-20T13:45:00Z,2026-08-20T13:46:00Z,2026-08-20T17:46:00Z,2026-08-20,10,expired,0.3545157320,0.3595336732651262886268714133,86.74201400000000,86.690000000000,1.7406441692,0.02007895,0.612014,2026-08-20T14:47:00Z,5.0000000000,0.0100000000,4,2,5,1514396.5464000000,2289014.5233,30,3428162436.4498000000,1440
8d511a2d-4256-54dc-8bbb-8edaa52ae520,mean_reversion v8,v8,replay,ETHUSDT,ETH,2026-08-20T13:45:00Z,2026-08-20T13:46:00Z,2026-08-20T15:21:00Z,2026-08-20,10,target,1.3817191949,1.381719194945072000102137864,2273.76344000000000,2272.400000000000,24.5471042821,0.01080228,9.09344,2026-08-20T13:49:00Z,20.0000000000,0.0010000000,4,2,5,15306350.7535600000,15995243.30094,30,27459802440.8490900000,1440
97e4dc76-4dac-579e-a2d7-58b3ea9beef6,mean_reversion v1,v1,replay,XRPUSDT,XRP,2026-08-20T19:30:00Z,2026-08-20T19:31:00Z,2026-08-20T21:34:00Z,2026-08-20,16,target,1.6753530335,1.675353033488987993199075635,1.22973740000000,1.229000000000,0.0193947165,0.01578089,0.0100374,2026-08-20T19:57:00Z,5.0000000000,0.1000000000,4,2,5,5754961.7269500000,2807610.714685,30,2800293919.2673000000,1440
382814fc-991a-5400-9a09-aca7ec0dc401,mean_reversion v10,v10,replay,XRPUSDT,XRP,2026-08-20T19:30:00Z,2026-08-20T19:31:00Z,2026-08-20T23:31:00Z,2026-08-20,16,expired,0.8880306293,0.8880306293186615588490489359,1.22973740000000,1.229000000000,0.045942909,0.03738235,0.0100374,2026-08-20T19:57:00Z,5.0000000000,0.1000000000,4,2,5,5754961.7269500000,2807610.714685,30,2800293919.2673000000,1440
d4292703-2f14-5a53-83db-117644abec6b,mean_reversion v2,v2,replay,XRPUSDT,XRP,2026-08-20T19:30:00Z,2026-08-20T19:31:00Z,2026-08-20T21:34:00Z,2026-08-20,16,target,1.6753530335,1.675353033488987993199075635,1.22973740000000,1.229000000000,0.0193947165,0.01578089,0.0100374,2026-08-20T19:57:00Z,5.0000000000,0.1000000000,4,2,5,5754961.7269500000,2807610.714685,30,2800293919.2673000000,1440
26120994-8e39-5710-9ab4-270aae519612,mean_reversion v3,v3,replay,XRPUSDT,XRP,2026-08-20T19:30:00Z,2026-08-20T19:31:00Z,2026-08-20T21:34:00Z,2026-08-20,16,target,1.6753530335,1.675353033488987993199075635,1.22973740000000,1.229000000000,0.0193947165,0.01578089,0.0100374,2026-08-20T19:57:00Z,5.0000000000,0.1000000000,4,2,5,5754961.7269500000,2807610.714685,30,2800293919.2673000000,1440
a9c54dc4-600b-50be-9d26-68c9d1d53ef1,mean_reversion v4,v4,replay,XRPUSDT,XRP,2026-08-20T19:30:00Z,2026-08-20T19:31:00Z,2026-08-20T23:31:00Z,2026-08-20,16,expired,1.3543871096,1.354387109622216397952252010,1.22973740000000,1.229000000000,0.0301233747,0.02451048,0.0100374,2026-08-20T19:57:00Z,5.0000000000,0.1000000000,4,2,5,5754961.7269500000,2807610.714685,30,2800293919.2673000000,1440
