tag,mint,set,entry_brt,hour_brt,day_brt,reason,hold_s,pnl_sol,pnl_pct,mfe,mae,mark300,mfe_to_exit,source,n_trades,age_s,progress_pct,buys_1m,sells_1m,snipers,unique_buyers_1m,net_sol_flow_1m,mcap_delta_60s,dev_share,creator_net_seller,holders_rising,progress_rising,participation_pct,real_sol,mcap_sol,creator_prior_mints_1h,symbol_dup_24h,gross_curve_sol,pf_fee_sol,creator_fee_sol,net_fee_sol,ata_rent_sol,exit_slip_sol
CITIZEN,4oZV44KWGMMkCD7K5hQhWxfuYSHZYcCkRQrcsarmpump,operator/5,2026-09-18T19:06:43-03:00,19,2026-09-18,trailing,286,-0.0573418300,-80.13,78.7,-80.2,-80.2,78.7,tape+photos,647,253,74.2884,40,16,1,40,3.094174798,12.4932267754,0,False,False,True,0.8920705675990781521168544646,36.533230795,137.5169547452,0,0,-0.054693258,0.000793996,0.000250736,0.00009,0.00151384,-0.000045
RHOS,GJggRu24hdLDBEt5TExf8fBkKjrs3e9QRnfXoWQLpump,operator/5,2026-09-18T20:24:05-03:00,20,2026-09-18,trailing,152,-0.0062708330,-25.31,18.6,-90.6,-90.6,18.6,tape+photos,1185,248,92.5326,254,47,5,157,12.265048291,67.6604844777,0,False,False,True,0.1942770813820306911506787127,64.921046732,279.9007460279,0,2,-0.004145452,0.000396371,0.00012517,0.00009,0.00151384,-0.000151896
Burger,ChANCydjWNF2J9DAdZYiWZXpTmg629s5SJZrbRY2pump,operator/5,2026-09-18T23:46:16-03:00,23,2026-09-18,time_stop,304,-0.0032262340,-14.52,-1.7,-14.3,-14.3,-1.7,tape+photos,26,68,32.4798,35,10,4,30,7.978056446,17.5910738266,0,False,True,True,0.4665166967260124538157034155,9.477412576,48.4146040084,0,0,-0.001126468,0.000376903,0.000119023,0.00009,0.00151384,-0.000045
XCrypto,2TqMkSTqMpxACay3j8Cjt7uqUAWTG8HYqwWJ3xmbpump,operator/5,2026-09-19T02:54:06-03:00,2,2026-09-19,trailing,27,-0.0017208830,-2.40,137.9,-6.7,135.1,11.9,tape+photos,363,158,32.1947,26,9,8,23,5.75381197,13.0453140523,0,False,True,True,0.3694001012499502890368031487,9.368249699,48.1472222064,0,1,0.001631751,0.001329083,0.000419711,0.00009,0.00151384,-0.000043632
EQUITITTY,3wFxx4idkMbWyRDW9ir16oS2ChuKp1KZHboABxnTpump,operator/5,2026-09-19T04:03:24-03:00,4,2026-09-19,trailing,15,-0.0171390960,-24.49,-4.6,-71.2,-71.2,-4.6,tape+photos,464,274,69.6231,102,31,0,87,15.268605819,50.5536786172,0,False,False,True,0.2113977788458630420843213135,31.806458674,118.6715846578,0,0,-0.014021185,0.001150693,0.000363378,0.00009,0.00151384,0.000209156
FЕРЕ,FmuDycv6ymbQZL26TR3gNKzx5jKTfKKWxBZX4Mzkpump,operator/5,2026-09-19T05:11:39-03:00,5,2026-09-19,trailing,10,-0.0098370730,-13.75,54.5,-13.7,47.5,-1.6,tape+photos,370,66,52.6699,25,3,6,25,7.129909554,20.1823486469,0,False,False,True,0.4954833844722890575079971595,19.124424969,74.9676647317,0,0,-0.006587176,0.001251003,0.000395054,0.00009,0.00151384,-0.000585153
Cupsey#1,7ktpRquhU8dViBCPNZsaQiZLbseMD7N3ctme7DsUpump,operator/5,2026-09-19T05:45:44-03:00,5,2026-09-19,target,40,0.0131511740,18.25,65.3,-35.6,-35.6,20.6,tape+photos,179,91,34.4237,18,3,5,16,6.3193505944,12.5792796202,0,False,False,True,0.7028850204409163809986539064,10.238220932,50.2986773121,1,1,0.016704496,0.001481606,0.000467876,0.00009,0.00151384,0.003389302
Cupsey#2,7ktpRquhU8dViBCPNZsaQiZLbseMD7N3ctme7DsUpump,operator/5,2026-09-19T05:48:41-03:00,5,2026-09-19,trailing,28,-0.0075344400,-10.76,1.0,-62.2,-62.2,1.0,photos,0,282,55.054,36,15,5,33,5.291634683,16.9040693527,0,False,False,True,0.5270931337057022584478698235,20.584040234,79.4888200917,1,1,-0.005788397,0.001258592,0.000397451,0.00009,0,-0.000045
CYBER,Dfe4h6BqhJqPq667gXUTy1vuhgRibbdiMy81KNsMpump,operator/5,2026-09-19T07:57:47-03:00,7,2026-09-19,target,34,0.0059556560,26.72,43.9,-35.6,-35.6,38.1,tape+photos,143,180,31.0874,22,4,1,22,5.725205826,13.0523828383,0,False,True,True,0.7614361599613241251164495049,9.04869996,47.1294625283,0,2,0.008173457,0.00046661,0.000147351,0.00009,0.00151384,-0.000045
NARKY#1,5K63VHEhV7jucMaBsov1H5wgyy62mEiYJm23Zy1jpump,operator/5,2026-09-19T08:21:53-03:00,8,2026-09-19,trailing,31,-0.0033281310,-4.59,137.6,-15.0,65.6,7.3,tape+photos,913,97,34.3933,20,3,1,17,5.272582071,10.1389013095,0,False,False,True,0.892279071779901715116078659,11.213751434,50.2683717922,0,1,0.000029728,0.001333054,0.000420965,0.00009,0.00151384,0.000107477
NARKY#2,5K63VHEhV7jucMaBsov1H5wgyy62mEiYJm23Zy1jpump,operator/5,2026-09-19T08:24:53-03:00,8,2026-09-19,target,7,0.0141848070,20.30,22.0,-39.3,-22.2,20.4,tape+photos,672,278,66.8887,92,21,1,84,13.13654798,42.9416554769,0,False,True,True,0.1989674481271153063652479704,29.379873527,109.3736266358,0,1,0.016201848,0.001464551,0.00046249,0.00009,0,0.000451084
shitcoin,JexMPokPATsQQcy1ss696GkDvd3qmWFTzPyohnXpump,operator/5,2026-09-19T10:11:41-03:00,10,2026-09-19,trailing,21,-0.0090171850,-31.08,-7.7,-52.3,-52.3,-7.7,tape+photos,68,66,43.7513,48,23,5,47,11.469744578,27.5098968832,0,False,False,True,0.1942567221838416234921060391,14.338329273,61.0713712466,0,1,-0.006820722,0.000450393,0.00014223,0.00009,0.00151384,-0.000400687
